processo;num_oficio;email_destino;status;data_envio;hora_envio;registrar_envio;resposta;msg_id;url_oficio;url_processo;url_recebimento;url_baixa;assunto
0004109-80.2025.8.05.0191;;ceapa.pauloafonso@seap.ba.gov.br;;;;;;;;;;;
0004109-80.2025.8.05.0191;061/2026- SEC;ceapa.pauloafonso@seap.ba.gov.br;Enviado;17/04/2026;19:31:51;juntado;;177646510743.16620.16437991396289285446@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5941075;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020255180680;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020255180680&juntadaAr=true&codDocVinculado=5941075;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5941075;2ªVSJ - 061/2026- SEC Referente ao Proc Nº: 0004109-80.2025.8.05.0191
0003499-15.2025.8.05.0191;062/2026- SEC;ceapa.pauloafonso@seap.ba.gov.br;Enviado;17/04/2026;19:33:04;juntado;;177646518164.16620.15577558416974974334@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5941078;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020254359087;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020254359087&juntadaAr=true&codDocVinculado=5941078;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5941078;2ªVSJ - 062/2026- SEC Referente ao Proc Nº: 0003499-15.2025.8.05.0191
0000538-67.2026.8.05.0191;065/2026 - SEC;jecrim.petrolina@tjpe.jus.br;Enviado;17/04/2026;19:34:20;juntado;;177646525791.16620.4961095606884104723@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5943138;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020260837696;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020260837696&juntadaAr=true&codDocVinculado=5943138;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5943138;2ªVSJ - 065/2026 - SEC Referente ao Proc Nº: 0000538-67.2026.8.05.0191
0000697-10.2026.8.05.0191;068/2026- SEC;ceapa.pauloafonso@seap.ba.gov.br;Enviado;17/04/2026;19:34:46;juntado;;177646528286.16620.186931592006236418@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5943709;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020261099718;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020261099718&juntadaAr=true&codDocVinculado=5943709;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5943709;2ªVSJ - 068/2026- SEC Referente ao Proc Nº: 0000697-10.2026.8.05.0191
0001813-85.2025.8.05.0191;071/2026- SEC;ciap.pauloafonso@seap.ba.gov.br;Enviado;08/05/2026;17:18:58;juntado;;177827153532.8112.4647466061058582574@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5947507;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020252034526;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020252034526&juntadaAr=true&codDocVinculado=5947507;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5947507;2ªVSJ - 071/2026- SEC Referente ao Proc Nº: 0001813-85.2025.8.05.0191
0000199-79.2024.8.05.0191;072/2026- SEC;ciap.pauloafonso@seap.ba.gov.br;Enviado;08/05/2026;17:20:03;juntado;;177827160072.8112.11131849056676976197@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5949624;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020240275124;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020240275124&juntadaAr=true&codDocVinculado=5949624;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5949624;2ªVSJ - 072/2026- SEC Referente ao Proc Nº: 0000199-79.2024.8.05.0191
0000155-60.2024.8.05.0191;078/2026- SEC;bpm20.cmd@pm.ba.gov.br;Enviado;08/05/2026;17:21:17;juntado;;177827167396.8112.812450066070024456@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5954835;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020240204686;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020240204686&juntadaAr=true&codDocVinculado=5954835;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5954835;2ªVSJ - 078/2026- SEC Referente ao Proc Nº: 0000155-60.2024.8.05.0191
0000857-06.2024.8.05.0191;079/2026- SEC;bpm20.cmd@pm.ba.gov.br;Enviado;08/05/2026;17:22:25;juntado;;177827174239.8112.574809053311006890@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5954917;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020241193029;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020241193029&juntadaAr=true&codDocVinculado=5954917;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5954917;2ªVSJ - 079/2026- SEC Referente ao Proc Nº: 0000857-06.2024.8.05.0191
0002578-56.2025.8.05.0191;073/2026- SEC;ciap.pauloafonso@seap.ba.gov.br;Enviado;08/05/2026;17:23:41;juntado;;177827181850.8112.12038514485267142993@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5954968;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020253003363;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020253003363&juntadaAr=true&codDocVinculado=5954968;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5954968;2ªVSJ - 073/2026- SEC Referente ao Proc Nº: 0002578-56.2025.8.05.0191
